,nsga3_adaptation,custom_adaptation,anchors_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,nsga3_score,custom_score,anchors_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],nsga3_time,custom_time,anchors_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom
23,"[ 0.34424439 99.399354   98.96126357 39.7158     39.         69.3049
 79.9268     73.5546      0.        ]","[2.77000000e-02 4.65142788e+01 9.89761909e+01 3.97158000e+01
 3.90000000e+01 6.93049000e+01 7.99268000e+01 7.35546000e+01
 0.00000000e+00]",[ 4.0301 63.4838 97.0495 39.7158 39.     69.3049 79.9268 73.5546  0.    ],[0.66435142 0.81       0.24169822 0.35      ],[0.64221838 0.85       0.15188181 0.41      ],[0.62260004 0.97       0.10588731 0.27      ],0.006612089403773225,0.18179076767676772,0.1449893333333333,0.1751786782729945,-0.036801434343434414,0.13837724392956008,26.49369474239532,-0.20243841210280294,20.92791483590563,5.630373477935791,0.3848583698272705,1.5207843780517578,14.629728542639665,3.702282558391831,0.2530657043704669
24,"[ 0.76019508 97.44211926 97.4245301  41.9886     64.         69.5211
 56.9322     75.2686      0.        ]","[2.77000000e-02 9.69723152e+01 9.89761909e+01 4.19886000e+01
 6.40000000e+01 6.95211000e+01 5.69322000e+01 7.52686000e+01
 0.00000000e+00]",[ 4.7455 43.9205 58.134  41.9886 64.     69.5211 56.9322 75.2686  0.    ],[0.61451752 0.97       0.32197581 0.56      ],[0.61451752 0.91       0.32197581 0.55      ],[0.48653906 1.         0.09056116 0.37      ],0.019645152386718823,0.013597313131313071,0.3423033333333333,-0.006047839255405751,0.3287060202020202,0.32265818094661447,-0.30785402609014195,24.17433628450076,16.424315505170053,5.238992214202881,0.18288064002990723,1.5597445964813232,28.64705751984533,3.3588782586724055,0.11725037576182241
25,"[ 0.51094549 45.00144119 98.97744367 29.6546     13.         85.2779
 33.1599     51.3262      0.        ]","[2.77000000e-02 9.99914000e+01 9.89761909e+01 2.96546000e+01
 1.30000000e+01 8.52779000e+01 3.31599000e+01 5.13262000e+01
 0.00000000e+00]",[53.9205 43.2905 69.0261 29.6546 13.     85.2779 33.1599 51.3262  0.    ],[0.09703137 0.83       0.09107411 0.32      ],[0.09301499 0.79       0.1189095  0.25      ],[0.06259469 0.94       0.02736649 0.08      ],0.18844020207593115,0.0035336969696968534,0.4720129999999999,-0.1849065051062343,0.46847930303030305,0.28357279792406875,-0.9812476481622909,132.5748379240602,1.5048423574169398,6.150947093963623,0.1764531135559082,1.3689382076263428,34.85881869698337,4.49322479254122,0.12889779288275355
26,"[49.45579779 40.98584632 43.7181202  65.35       47.          0.3619
 10.4851     29.3664      1.        ]","[25.9184     30.82917879 36.054      65.35       47.          0.3619
 10.4851     29.3664      1.        ]",[ 8.9184 79.1663 81.054  65.35   47.      0.3619 10.4851 29.3664  1.    ],[0.9437708  0.8        0.87365784 0.99      ],[0.93825617 0.81       0.80008839 0.92      ],[[0.95324773 0.9        0.95075208 1.        ]],0.5491727708700873,0.530117404040404,0.1623269999999999,-0.01905536682968334,-0.3677904040404041,-0.3868457708700874,-0.03469830960390258,-0.6937904721429825,-0.7044154251442302,60.85019659996033,39.760316371917725,0.15638160705566406,1.5304253625843418,389.1135137030577,254.25187220236862
27,"[ 3.80390895 99.48995281 94.84766148 93.3305     10.         55.1955
 94.395      67.1528      0.        ]","[12.12597879 99.9914     98.97619091 93.3305     10.         55.1955
 94.395      67.1528      0.        ]",[ 9.7965 96.8725 96.459  93.3305 10.     55.1955 94.395  67.1528  0.    ],[0.49381416 0.93       0.08365419 0.19      ],[0.49381416 0.9        0.09525898 0.12      ],[0.49381416 0.97       0.08271882 0.09      ],0.031554315515625375,0.04386129292929275,0.054883333333333284,0.012306977413667375,0.011022040404040534,0.02332901781770791,0.390025174451117,0.25129310305122055,0.7393289138582524,5.0421717166900635,0.16499733924865723,1.447251319885254,30.559109253824513,3.483964151499157,0.1140073855740129
28,"[28.19269295 89.61304461 48.02223906 15.7073      6.         29.2827
 39.3528     53.6161      1.        ]","[2.77000000e-02 8.78768909e+01 9.49686818e+01 1.57073000e+01
 6.00000000e+00 2.92827000e+01 3.93528000e+01 5.36161000e+01
 1.00000000e+00]",[45.6914 41.6575 84.135  15.7073  6.     29.2827 39.3528 53.6161  1.    ],[0.86404074 0.26       0.57927335 0.69      ],[0.86404074 0.34       0.4624666  0.62      ],[[0.87150651 0.23       0.34752472 0.66      ]],0.30185803094895425,0.05727375757575748,0.3996629999999999,-0.24458427337319677,0.3423892424242424,0.09780496905104563,-0.8102626012774768,5.978117324873531,0.324009829202076,5.5094640254974365,0.5076630115509033,1.8717234134674072,10.85260083980927,2.9435246606714385,0.2712275798326671
29,"[19.91352671 60.27613919 92.75339774 83.1785      9.         37.0995
 59.2827     72.0848      1.        ]","[14.13416869 55.58107576 91.93113636 83.1785      9.         37.0995
 59.2827     72.0848      1.        ]",[45.0538 62.7568 89.27   83.1785  9.     37.0995 59.2827 72.0848  1.    ],[0.86404074 0.76       0.92604402 0.82      ],[0.86404074 0.74       0.92851761 0.8       ],[[0.85978418 0.74       0.92418706 0.79      ]],0.22294663262403702,0.2220731885521885,0.31009,-0.0008734440718485281,0.08801681144781148,0.08714336737596295,-0.003917727133028506,0.3963414585148221,0.39087097369582596,4.8938868045806885,0.6421780586242676,1.8733434677124023,7.620763024923055,2.612380958926216,0.34279782095082173
30,"[46.84629374 37.89294481 82.28086109 23.3526     89.         42.994
 30.9436     19.708       1.        ]","[27.10140909 74.87689091 90.92362727 23.3526     89.         42.994
 30.9436     19.708       1.        ]",[35.073  97.2626 96.1105 23.3526 89.     42.994  30.9436 19.708   1.    ],[0.95135629 0.8        0.81223932 0.81      ],[0.97208693 0.8        0.84958882 0.91      ],[[0.97106843 0.78       0.84214464 0.88      ]],0.4222416261249994,0.20433630303030303,0.13899966666666674,-0.21790532309469635,-0.06533663636363629,-0.28324195945833264,-0.5160678379686521,-0.3197505063696238,-0.6708053918267224,59.26897168159485,12.423637390136719,0.8631846904754639,4.770661749082376,68.66314050235067,14.392791632221218
31,"[ 7.57030674 99.56093633 99.14631953 15.617      47.         10.5976
 11.0008      7.464       1.        ]","[11.11778889 95.9532303  66.7359     15.617      47.         10.5976
 11.0008      7.464       1.        ]",[51.8675 62.103  74.73   15.617  47.     10.5976 11.0008  7.464   1.    ],[0.95842743 0.59       0.47274977 0.73      ],[0.95108528 0.42       0.22252348 0.72      ],[0.9434076  0.29       0.12377228 0.62      ],0.029543502928683574,0.16142886195286188,0.3834483333333335,0.1318853590241783,0.22201947138047162,0.35390483040464993,4.46410702693389,1.3753393828998344,11.979108613455796,5.873174428939819,0.15996074676513672,1.7820842266082764,36.71634790229594,3.295677241988638,0.08976048627599352
32,"[ 0.36847078 98.6185997  97.66210023 31.2802     48.         12.1332
 79.5619     83.7274      0.        ]","[2.77000000e-02 7.37432970e+01 9.89761909e+01 3.12802000e+01
 4.80000000e+01 1.21332000e+01 7.95619000e+01 8.37274000e+01
 0.00000000e+00]",[22.5575 90.9525 98.0097 31.2802 48.     12.1332 79.5619 83.7274  0.    ],[0.81521978 0.81       0.33875205 0.33      ],[0.81521978 0.77       0.27598229 0.32      ],[0.79753944 0.85       0.20043579 0.21      ],0.013625902828118375,0.0910273737373738,0.11198433333333335,0.07740147090925542,0.020956959595959557,0.09835843050521498,5.680465499102927,0.2302270046417378,7.218489060573865,6.375427722930908,0.1674056053161621,0.9593746662139893,38.08371715445418,6.645399287111115,0.17449450273353598
