cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
23.4646,81.70619999999997,65.0873,19.1386,97.0,0.8751,28.963,33.1598,1.0,True,False,True,True
0.0,58.0,94.889,46.0403,18.0,21.5038,32.026,47.8408,0.0,True,True,False,False
0.0,0.0,39.88220000000003,10.3298,79.0,69.7088,60.4312,98.1691,0.0,False,False,True,False
0.0,83.2459,92.0721,63.0963,100.0,32.3491,26.1361,42.5884,0.0,True,True,False,False
0.0,63.18659999999999,80.027,71.7043,28.0,49.9214,23.2639,66.7219,0.0,True,True,False,False
0.0,27.288999999999984,77.86649999999999,43.1164,70.0,18.1861,99.6562,62.7272,1.0,True,False,False,False
27.231500000000008,58.0,91.81,16.7713,32.0,79.513,22.451,44.3956,0.0,False,False,False,False
32.323,62.103,81.054,43.1227,54.0,16.0975,44.2018,33.0678,1.0,True,False,True,True
18.9115,98.2304,98.8678,90.9379,13.0,14.7604,29.3335,27.512,0.0,True,True,False,False
15.404,74.412,72.6274,93.3645,80.0,39.5536,60.2013,77.4737,0.0,True,True,False,True
28.102299999999996,100.0,69.60199999999998,87.5505,56.0,64.2069,0.9324,35.6015,0.0,False,True,False,True
0.0,52.3419,57.3213,50.8483,93.0,36.1734,14.8326,33.3918,0.0,True,True,True,False
51.139500000000005,73.88929999999999,97.8476,23.7559,35.0,85.4744,88.3786,35.0268,0.0,True,False,False,True
34.161500000000004,74.944,92.0238,61.7801,50.0,54.0379,83.2858,11.6924,1.0,True,False,True,True
0.0,100.0,88.24300000000001,66.5369,51.0,23.0754,1.1535,78.2868,0.0,False,True,True,False
18.3052,31.1796,97.1814,39.0085,64.0,2.7289,48.0779,32.9972,1.0,True,False,True,True
20.241,98.8575,100.0,32.2176,98.0,27.5074,47.5989,38.5833,0.0,True,True,False,False
14.001300000000002,73.28909999999999,77.85979999999999,58.9221,14.0,50.3608,78.8908,65.1774,1.0,True,False,True,True
50.63100000000001,59.059000000000005,98.154,64.751,10.0,78.5628,78.9643,83.4241,0.0,False,False,False,False
29.5561,100.0,99.21,83.528,23.0,25.9538,31.77,27.9192,0.0,True,True,False,True
13.8818,84.96249999999999,59.1179,98.1129,88.0,3.5782,10.9024,21.2412,0.0,True,True,False,False
11.6603,42.366,97.48600000000002,81.3137,41.0,16.2426,96.0676,32.3835,1.0,True,False,False,True
50.218,55.737,44.53999999999999,28.1943,28.0,69.132,51.124,71.9696,1.0,True,False,True,True
